Result Value,blue,green,red,NIR,SWIR1,log(blue),log(green),log(red),log(NIR),log(SWIR1),1/log(blue),1/log(green),1/log(red),1/log(NIR),1/log(SWIR1),1/blue,1/green,1/red,1/NIR,1/SWIR1,blue/green,blue/red,blue/NIR,blue/SWIR1,green/blue,green/red,green/NIR,green/SWIR1,red/blue,red/green,red/NIR,red/SWIR1,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(red,NIR)","ND(red,SWIR1)","ND(NIR,SWIR1)"
50.8,0.1303025,0.1866775,0.15915,0.06796,0.0112275,-2.037896608542687,-1.678372749890773,-1.8379081252540352,-2.688835982178406,-4.489389153002381,-0.49070202865448925,-0.5958152025913666,-0.5440968382800855,-0.37190814412927975,-0.22274745314320266,7.674449837877248,5.356831969573195,6.283380458686773,14.714537963507944,89.06702293475841,0.6980085977153111,0.8187401822180331,1.9173410829899937,11.605655755956356,1.43264710961033,1.1729657555765,2.746873160682754,16.62680917390336,1.221388691698164,0.852539807957574,2.3418187168922895,14.175016700066802,0.5215556109821378,0.36405030065219435,0.4270185359723531,6.0529948786461825,0.0861648855547668,0.06014383093838304,0.07054665409990574,0.16520747498528543,-0.17785033756072943,-0.09966229346784024,0.3144442342853539,0.841341058432841,0.07959893299405045,0.4662215895145058,0.8865364695182032,0.4015234908194267,0.8682044284016376,0.7164325177584846
147.6,0.0843225,0.140395,0.1076699999999999,0.08842,0.0172775,-2.4731065456722496,-1.9632954005601804,-2.2286842851545123,-2.42565709058404,-4.058350201998724,-0.4043497445550515,-0.5093477016829324,-0.4486952264441848,-0.4122594260671957,-0.24640554664491576,11.859230928874263,7.122760782079134,9.287638153617543,11.309658448314861,57.87874403125452,0.6006089960468678,0.7831568682084152,0.9536586745080298,4.880480393575459,1.664976726259302,1.303937958577135,1.5878194978511648,8.125886268267978,1.276883394111891,0.7669076534064597,1.21771092513006,6.231804369845168,1.0485931987310624,0.629794508351437,0.8212129655428632,5.117638547243525,0.2048978623736251,0.12306349941237225,0.16046716819912712,0.19540262384076001,-0.2495244028613704,-0.12160631274659126,-0.023720277291344075,0.6598917322834645,0.1319210690746381,0.2271485698053012,0.7808432034755585,0.09816920801672659,0.7234438464154943,0.6730764682229948
66.7,0.127305,0.187475,0.146995,0.0682074999999999,0.01868,-2.0611694968923873,-1.674109775794684,-1.917356706387319,-2.685200749504567,-3.9803018461814403,-0.4851614588260179,-0.5973323938839731,-0.5215513611362378,-0.3724116344688586,-0.25123722738750687,7.855151015278269,5.334044539271903,6.802952481376918,14.661144302312819,53.53319057815846,0.6790505400720096,0.8660498656416886,1.8664369754059333,6.815042826552463,1.4726444365892934,1.2753835164461378,2.7485980280760955,10.036134903640258,1.154667923490829,0.7840778770502733,2.1551149067184725,7.869111349036403,0.5357802128745917,0.3638218429123877,0.4640123813735154,3.6513650963597377,0.14673422096539804,0.09963995199359914,0.12707915235212083,0.27387017556720344,-0.19114937416608424,-0.07178271965001817,0.3022696758519283,0.7440832962290647,0.12102729691751134,0.46646720053191026,0.8187771337100725,0.3661086650945046,0.7744982646748151,0.5700187023449858
31.8,0.1046725,0.1574725,0.1268375,0.0492874999999999,0.00669,-2.256918850810914,-1.8485044391359615,-2.064848539376936,-3.0100847797783934,-5.007141404842,-0.4430819476033437,-0.5409778731542705,-0.48429702272581604,-0.3322165563966678,-0.19971475122172128,9.553607681100575,6.350315134388545,7.884103675963339,20.2891199594218,149.47683109118088,0.664703360904285,0.8252488420222727,2.1237129089525784,15.64611360239163,1.5044304855621102,1.2415295161131368,3.1949784428100494,23.538490284005977,1.2117557142515942,0.805458095858007,2.5734212528531626,18.959267563527654,0.4708734385822437,0.31299115718617476,0.3885877599290423,7.367339312406562,0.06391363538656285,0.04248360824905936,0.05274465359219474,0.13573421252853185,-0.2014152472868069,-0.0957410047082199,0.3597362951415961,0.8798518352228084,0.10775210157926207,0.5232395047397956,0.9184953932840935,0.4403122782114983,0.8997959221883133,0.7609753918985301
36.9,0.1034074999999999,0.1563999999999999,0.127855,0.08281,0.00922,-2.269077785689132,-1.855338450870927,-2.056858469679578,-2.4912064519365282,-4.686380241413635,-0.44070767706021774,-0.5389852183199153,-0.4861783223012822,-0.4014119340541425,-0.21338430696745012,9.670478446921171,6.393861892583124,7.821360134527395,12.075836251660428,108.45986984815617,0.6611732736572888,0.8087872981111408,1.2487320371935746,11.215563991323199,1.51246282909847,1.2232607250400838,1.8886607897596899,16.963123644251613,1.2364190218311062,0.8174872122762153,1.543956043956044,13.867136659436007,0.8008123201895421,0.5294757033248085,0.6476868327402135,8.981561822125812,0.0891618112806132,0.058951406649616414,0.07211294044034258,0.11133921024030916,-0.20396832270046106,-0.10571320469163874,0.1106099050841082,0.8362744445184345,0.10042039717858933,0.30763764056686566,0.8886607897596908,0.21382289416846653,0.8654751048695969,0.7996305552537215
47.6,0.1120149999999999,0.1599475,0.1483425,0.0802525,0.0189274999999999,-2.189122488083245,-1.8329096425930969,-1.9082314896406,-2.5225773648092704,-3.9671393879868178,-0.45680404154798177,-0.5455806313426649,-0.5240454344395825,-0.39641995284279774,-0.2520708001912341,8.927375797884219,6.25205145438347,6.7411564453882065,12.460671007133733,52.83317923656084,0.7003235436627638,0.7551106392301593,1.395782062864084,5.918108572183358,1.427911440432086,1.0782311205487303,1.9930531759135228,8.450534935939816,1.3243092442976396,0.9274449428718798,1.8484470888757356,7.837405890899526,0.7164442262197034,0.5017427593429095,0.5409946576335171,4.239994716682099,0.16897290541445267,0.1183357039028425,0.12759323862008462,0.23584935048752248,-0.17624672519189266,-0.13952930105720057,0.16519952670108007,0.710903640911088,0.03764312822342601,0.3317860116569525,0.7883717679944104,0.29786303287473476,0.7736892449333423,0.6183202258519879
82.5,0.1250775,0.1823874999999999,0.14925,0.0652375,0.0106225,-2.0788217338004302,-1.7016217343919968,-1.9021325267094256,-2.7297208220126055,-4.544780885975308,-0.4810417284659779,-0.5876746751576419,-0.5257257241323451,-0.3663378291054345,-0.2200326099517558,7.995043073294557,5.4828318826674005,6.700167504187605,15.328607012837708,94.13979759943516,0.6857789048043319,0.8380402010050252,1.9172638436482086,11.774770534243352,1.4581959185305102,1.2220268006700161,2.795746311553936,17.16992233466697,1.1932601786892125,0.8183126584881095,2.2877945966660276,14.050364791715698,0.5215766224940537,0.3576862449455146,0.4371021775544389,6.1414450458931515,0.08492734504607143,0.05824138167363446,0.07117252931323284,0.16282812799386856,-0.18639519945359606,-0.088115482406977,0.31442608307280034,0.8434414148857774,0.09992084731069288,0.4730943967693082,0.8899279830060617,0.39168949239466166,0.8671128555567718,0.7199446348536778
25.8,0.10943,0.16806,0.1428975,0.0482424999999999,0.0192299999999999,-2.2124702035517854,-1.783434220482065,-1.9456276889509247,-3.031514903693765,-3.951283719381454,-0.45198348813676753,-0.5607159425984876,-0.5139729485136986,-0.3298680797450624,-0.253082307173969,9.138261902586128,5.950255861002024,6.998023058485977,20.72861066487023,52.0020800832036,0.6511364988694515,0.7657936632901204,2.268331865056749,5.69058762350497,1.5357762953486245,1.1760877552091533,3.483650308338091,8.739469578783195,1.3058347802248014,0.8502766868975368,2.962066642483294,7.430967238689587,0.44085259983551034,0.2870552183743895,0.337602127399009,2.508710348413944,0.17572877638673032,0.11442342020706832,0.13457198341468465,0.39861118308545246,-0.21128689322137728,-0.13263516659896368,0.3880670376888814,0.7010725944349462,0.0809194182484744,0.553934882860809,0.7946500080089709,0.49521293292874413,0.7627792940741094,0.4299899959242667
34.0,0.10943,0.16806,0.1428975,0.0482424999999999,0.0192299999999999,-2.2124702035517854,-1.783434220482065,-1.9456276889509247,-3.031514903693765,-3.951283719381454,-0.45198348813676753,-0.5607159425984876,-0.5139729485136986,-0.3298680797450624,-0.253082307173969,9.138261902586128,5.950255861002024,6.998023058485977,20.72861066487023,52.0020800832036,0.6511364988694515,0.7657936632901204,2.268331865056749,5.69058762350497,1.5357762953486245,1.1760877552091533,3.483650308338091,8.739469578783195,1.3058347802248014,0.8502766868975368,2.962066642483294,7.430967238689587,0.44085259983551034,0.2870552183743895,0.337602127399009,2.508710348413944,0.17572877638673032,0.11442342020706832,0.13457198341468465,0.39861118308545246,-0.21128689322137728,-0.13263516659896368,0.3880670376888814,0.7010725944349462,0.0809194182484744,0.553934882860809,0.7946500080089709,0.49521293292874413,0.7627792940741094,0.4299899959242667
64.5,0.0155174999999999,0.0641649999999999,0.0436775,0.003335,6.249999999999312e-05,-4.165786859676473,-2.746297388285714,-3.1309221836156746,-5.70328259961455,-9.680344001222029,-0.24005068758550524,-0.36412662527571976,-0.3193947154717121,-0.17533762049027413,-0.10330211404406309,64.44337038827173,15.584820384945088,22.895083280865432,299.85007496251876,16000.000000001763,0.24183745032338383,0.3552744548108271,4.652923538230855,248.28000000002572,4.135008860963449,1.4690630187167284,19.239880059969988,1026.6400000001115,2.8147253101337384,0.6807059923634391,13.096701649175413,698.840000000077,0.2149186402448862,0.051975375983791865,0.07635510274168622,53.360000000005876,0.004027710649266539,0.0009740512740589607,0.001430942705053932,0.018740629685155358,-0.6105167383051502,-0.4757158543795954,0.6462007691287609,0.9919768934531459,0.1899761225861782,0.901185185185185,0.9980537931571369,0.8581228396703006,0.9971422039323277,0.9632082413539407
