Result Value,blue,green,red,NIR,SWIR1,SWIR2,SurfTempK,log(blue),log(green),log(red),log(NIR),log(SWIR1),log(SWIR2),log(SurfTempK),1/log(blue),1/log(green),1/log(red),1/log(NIR),1/log(SWIR1),1/log(SWIR2),1/log(SurfTempK),1/blue,1/green,1/red,1/NIR,1/SWIR1,1/SWIR2,1/SurfTempK,blue/green,blue/red,blue/NIR,blue/SWIR1,blue/SWIR2,blue/SurfTempK,green/blue,green/red,green/NIR,green/SWIR1,green/SWIR2,green/SurfTempK,red/blue,red/green,red/NIR,red/SWIR1,red/SWIR2,red/SurfTempK,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,NIR/SWIR2,NIR/SurfTempK,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,SWIR1/SWIR2,SWIR1/SurfTempK,SWIR2/blue,SWIR2/green,SWIR2/red,SWIR2/NIR,SWIR2/SWIR1,SWIR2/SurfTempK,SurfTempK/blue,SurfTempK/green,SurfTempK/red,SurfTempK/NIR,SurfTempK/SWIR1,SurfTempK/SWIR2,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(blue,SWIR2)","ND(blue,SurfTempK)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(green,SWIR2)","ND(green,SurfTempK)","ND(red,NIR)","ND(red,SWIR1)","ND(red,SWIR2)","ND(red,SurfTempK)","ND(NIR,SWIR1)","ND(NIR,SWIR2)","ND(NIR,SurfTempK)","ND(SWIR1,SWIR2)","ND(SWIR1,SurfTempK)","ND(SWIR2,SurfTempK)"
88.7,0.0155175,0.064165,0.0436775,0.003335,6.25E-05,0.00141,285.0782122,-4.16578686,-2.746297388,-3.130922184,-5.7032826,-9.680344001,-6.564165575,5.652763572,-0.240050688,-0.364126625,-0.319394715,-0.17533762,-0.103302114,-0.152342288,0.176904621,64.44337039,15.58482038,22.89508328,299.850075,16000,709.2198582,0.003507809,0.24183745,0.355274455,4.652923538,248.28,11.00531915,5.44E-05,4.135008861,1.469063019,19.23988006,1026.64,45.5070922,0.000225079,2.81472531,0.680705992,13.09670165,698.84,30.97695035,0.000153212,0.21491864,0.051975376,0.076355103,53.36,2.365248227,1.17E-05,0.004027711,0.000974051,0.001430943,0.01874063,0.044326241,2.19E-07,0.090865152,0.021974597,0.032282067,0.422788606,22.56,4.95E-06,18371.40082,4442.892733,6526.889411,85480.72331,4561251.396,202183.1292,-0.610516738,-0.475715854,0.646200769,0.991976893,0.833407178,-0.999891141,0.189976123,0.901185185,0.998053793,0.956995806,-0.999549944,0.85812284,0.997142204,0.937454949,-0.999693622,0.963208241,0.4056902,-0.999976603,-0.915110357,-0.999999562,-0.999990108
25.8,0.07456,0.1255175,0.0986775,0.022695,0.00922,0.0080375,288.7628378,-2.596151109,-2.075310088,-2.315898322,-3.785610643,-4.686380241,-4.823637189,5.665605721,-0.385185591,-0.481855702,-0.431797886,-0.264158175,-0.213384307,-0.207312441,0.176503634,13.41201717,7.967016551,10.13402245,44.06256885,108.4598698,124.4167963,0.003463049,0.594020754,0.755592714,3.285305133,8.086767896,9.27651633,0.000258205,1.683442865,1.271997162,5.530623485,13.61361171,15.61648523,0.000434673,1.323464324,0.786165276,4.347984137,10.70254881,12.27713841,0.000341725,0.30438573,0.180811441,0.229991639,2.461496746,2.823639191,7.86E-05,0.123658798,0.073455893,0.093435687,0.406256885,1.147122862,3.19E-05,0.107799088,0.064034896,0.081452205,0.354152897,0.871746204,2.78E-05,3872.892138,2300.578308,2926.32908,12723.63242,31319.1798,35926.94716,-0.254688808,-0.139216394,0.533288777,0.779899737,0.805381519,-0.999483723,0.11971721,0.693750527,0.863141293,0.879637602,-0.999131031,0.626027313,0.82909706,0.849365131,-0.999316783,0.422215259,0.476938095,-0.999842825,0.068520933,-0.999936143,-0.999944333
31.6,0.07456,0.1255175,0.0986775,0.022695,0.00922,0.0080375,288.7628378,-2.596151109,-2.075310088,-2.315898322,-3.785610643,-4.686380241,-4.823637189,5.665605721,-0.385185591,-0.481855702,-0.431797886,-0.264158175,-0.213384307,-0.207312441,0.176503634,13.41201717,7.967016551,10.13402245,44.06256885,108.4598698,124.4167963,0.003463049,0.594020754,0.755592714,3.285305133,8.086767896,9.27651633,0.000258205,1.683442865,1.271997162,5.530623485,13.61361171,15.61648523,0.000434673,1.323464324,0.786165276,4.347984137,10.70254881,12.27713841,0.000341725,0.30438573,0.180811441,0.229991639,2.461496746,2.823639191,7.86E-05,0.123658798,0.073455893,0.093435687,0.406256885,1.147122862,3.19E-05,0.107799088,0.064034896,0.081452205,0.354152897,0.871746204,2.78E-05,3872.892138,2300.578308,2926.32908,12723.63242,31319.1798,35926.94716,-0.254688808,-0.139216394,0.533288777,0.779899737,0.805381519,-0.999483723,0.11971721,0.693750527,0.863141293,0.879637602,-0.999131031,0.626027313,0.82909706,0.849365131,-0.999316783,0.422215259,0.476938095,-0.999842825,0.068520933,-0.999936143,-0.999944333
21,0.1420725,0.197595,0.17939,0.0469775,0.003445,0.0023725,285.0816303,-1.951417788,-1.621535798,-1.718193072,-3.058086515,-5.670831375,-6.043811027,5.652775561,-0.512447927,-0.616699305,-0.58200677,-0.327001867,-0.176340987,-0.165458515,0.176904246,7.038659839,5.060856803,5.574446736,21.28678623,290.275762,421.4963119,0.003507767,0.719008578,0.791975584,3.024266936,41.24020319,59.88303477,0.000498357,1.390803991,1.101482803,4.206162525,57.35703919,83.28556375,0.000693117,1.262665189,0.907867102,3.818636581,52.07256894,75.61222339,0.000629258,0.330658643,0.2377464,0.261873572,13.63642961,19.80084299,0.000164786,0.024248183,0.017434652,0.019203969,0.073332979,1.452054795,1.21E-05,0.01669922,0.012006883,0.013225375,0.0505029,0.688679245,8.32E-06,2006.592622,1442.757308,1589.172363,6068.471721,82752.28745,120160.8557,-0.163461326,-0.116086635,0.503015075,0.952651743,0.967150126,-0.999003782,0.048291046,0.615839884,0.965728213,0.976271144,-0.998614726,0.584944835,0.962315749,0.973894505,-0.998742275,0.863354653,0.903850051,-0.999670482,0.184357542,-0.999975832,-0.999983356
17.7,0.1420725,0.197595,0.17939,0.0469775,0.003445,0.0023725,285.0816303,-1.951417788,-1.621535798,-1.718193072,-3.058086515,-5.670831375,-6.043811027,5.652775561,-0.512447927,-0.616699305,-0.58200677,-0.327001867,-0.176340987,-0.165458515,0.176904246,7.038659839,5.060856803,5.574446736,21.28678623,290.275762,421.4963119,0.003507767,0.719008578,0.791975584,3.024266936,41.24020319,59.88303477,0.000498357,1.390803991,1.101482803,4.206162525,57.35703919,83.28556375,0.000693117,1.262665189,0.907867102,3.818636581,52.07256894,75.61222339,0.000629258,0.330658643,0.2377464,0.261873572,13.63642961,19.80084299,0.000164786,0.024248183,0.017434652,0.019203969,0.073332979,1.452054795,1.21E-05,0.01669922,0.012006883,0.013225375,0.0505029,0.688679245,8.32E-06,2006.592622,1442.757308,1589.172363,6068.471721,82752.28745,120160.8557,-0.163461326,-0.116086635,0.503015075,0.952651743,0.967150126,-0.999003782,0.048291046,0.615839884,0.965728213,0.976271144,-0.998614726,0.584944835,0.962315749,0.973894505,-0.998742275,0.863354653,0.903850051,-0.999670482,0.184357542,-0.999975832,-0.999983356
26.1,0.1420725,0.197595,0.17939,0.0469775,0.003445,0.0023725,285.0816303,-1.951417788,-1.621535798,-1.718193072,-3.058086515,-5.670831375,-6.043811027,5.652775561,-0.512447927,-0.616699305,-0.58200677,-0.327001867,-0.176340987,-0.165458515,0.176904246,7.038659839,5.060856803,5.574446736,21.28678623,290.275762,421.4963119,0.003507767,0.719008578,0.791975584,3.024266936,41.24020319,59.88303477,0.000498357,1.390803991,1.101482803,4.206162525,57.35703919,83.28556375,0.000693117,1.262665189,0.907867102,3.818636581,52.07256894,75.61222339,0.000629258,0.330658643,0.2377464,0.261873572,13.63642961,19.80084299,0.000164786,0.024248183,0.017434652,0.019203969,0.073332979,1.452054795,1.21E-05,0.01669922,0.012006883,0.013225375,0.0505029,0.688679245,8.32E-06,2006.592622,1442.757308,1589.172363,6068.471721,82752.28745,120160.8557,-0.163461326,-0.116086635,0.503015075,0.952651743,0.967150126,-0.999003782,0.048291046,0.615839884,0.965728213,0.976271144,-0.998614726,0.584944835,0.962315749,0.973894505,-0.998742275,0.863354653,0.903850051,-0.999670482,0.184357542,-0.999975832,-0.999983356
22.1,0.1420725,0.197595,0.17939,0.0469775,0.003445,0.0023725,285.0816303,-1.951417788,-1.621535798,-1.718193072,-3.058086515,-5.670831375,-6.043811027,5.652775561,-0.512447927,-0.616699305,-0.58200677,-0.327001867,-0.176340987,-0.165458515,0.176904246,7.038659839,5.060856803,5.574446736,21.28678623,290.275762,421.4963119,0.003507767,0.719008578,0.791975584,3.024266936,41.24020319,59.88303477,0.000498357,1.390803991,1.101482803,4.206162525,57.35703919,83.28556375,0.000693117,1.262665189,0.907867102,3.818636581,52.07256894,75.61222339,0.000629258,0.330658643,0.2377464,0.261873572,13.63642961,19.80084299,0.000164786,0.024248183,0.017434652,0.019203969,0.073332979,1.452054795,1.21E-05,0.01669922,0.012006883,0.013225375,0.0505029,0.688679245,8.32E-06,2006.592622,1442.757308,1589.172363,6068.471721,82752.28745,120160.8557,-0.163461326,-0.116086635,0.503015075,0.952651743,0.967150126,-0.999003782,0.048291046,0.615839884,0.965728213,0.976271144,-0.998614726,0.584944835,0.962315749,0.973894505,-0.998742275,0.863354653,0.903850051,-0.999670482,0.184357542,-0.999975832,-0.999983356
17.7,0.15805,0.2137925,0.194845,0.0585275,0.007625,0.005975,284.6065255,-1.84484384,-1.542749361,-1.635550908,-2.83825855,-4.876322956,-5.120171181,5.651107614,-0.542051299,-0.64819343,-0.611414781,-0.352328719,-0.205072553,-0.19530597,0.17695646,6.327111674,4.677432557,5.132284637,17.08598522,131.147541,167.3640167,0.003513623,0.739268216,0.811157587,2.700439964,20.72786885,26.45188285,0.000555328,1.352689022,1.097243963,3.652855495,28.03836066,35.78117155,0.000751186,1.232806074,0.911374347,3.32911879,25.55344262,32.61004184,0.000684612,0.370310028,0.273758434,0.300379789,7.675737705,9.79539749,0.000205644,0.048244227,0.035665423,0.03913367,0.130280637,1.276150628,2.68E-05,0.037804492,0.02794766,0.030665401,0.102088762,0.783606557,2.10E-05,1800.73727,1331.227828,1460.681698,4862.782888,37325.44596,47632.89129,-0.1499089,-0.104266141,0.459523727,0.907952316,0.927145252,-0.99888996,0.046367502,0.570156434,0.931125589,0.945624353,-0.998498755,0.538012215,0.9246802,0.940493975,-0.998631713,0.769472053,0.814735863,-0.999588797,0.121323529,-0.999946419,-0.999958013
24.5,0.15805,0.2137925,0.194845,0.0585275,0.007625,0.005975,284.6065255,-1.84484384,-1.542749361,-1.635550908,-2.83825855,-4.876322956,-5.120171181,5.651107614,-0.542051299,-0.64819343,-0.611414781,-0.352328719,-0.205072553,-0.19530597,0.17695646,6.327111674,4.677432557,5.132284637,17.08598522,131.147541,167.3640167,0.003513623,0.739268216,0.811157587,2.700439964,20.72786885,26.45188285,0.000555328,1.352689022,1.097243963,3.652855495,28.03836066,35.78117155,0.000751186,1.232806074,0.911374347,3.32911879,25.55344262,32.61004184,0.000684612,0.370310028,0.273758434,0.300379789,7.675737705,9.79539749,0.000205644,0.048244227,0.035665423,0.03913367,0.130280637,1.276150628,2.68E-05,0.037804492,0.02794766,0.030665401,0.102088762,0.783606557,2.10E-05,1800.73727,1331.227828,1460.681698,4862.782888,37325.44596,47632.89129,-0.1499089,-0.104266141,0.459523727,0.907952316,0.927145252,-0.99888996,0.046367502,0.570156434,0.931125589,0.945624353,-0.998498755,0.538012215,0.9246802,0.940493975,-0.998631713,0.769472053,0.814735863,-0.999588797,0.121323529,-0.999946419,-0.999958013
17.7,0.1521925,0.2075775,0.19215,0.0570425,0.0072125,0.0057825,283.2837517,-1.882609112,-1.572250515,-1.649478962,-2.863958675,-4.931939647,-5.152919164,5.646449052,-0.531177712,-0.636030957,-0.606252049,-0.349167049,-0.202759983,-0.194064756,0.177102457,6.570626016,4.817477809,5.204267499,17.53078845,138.6481802,172.9355815,0.003530029,0.733183992,0.792050481,2.668054521,21.10121317,26.31949849,0.000537244,1.363914122,1.080288837,3.638997239,28.78024263,35.89753567,0.000732755,1.262545789,0.925678361,3.368541,26.64124783,33.22957198,0.000678295,0.374804935,0.274800978,0.296864429,7.908838821,9.864677907,0.000201362,0.04739064,0.034746059,0.037535779,0.126440812,1.247297882,2.55E-05,0.037994645,0.027857065,0.030093677,0.101371784,0.801733102,2.04E-05,1861.351589,1364.713188,1474.284422,4966.187522,39276.77667,48989.84034,-0.153945576,-0.116039989,0.454751834,0.90950723,0.926792214,-0.998926089,0.038595043,0.568872345,0.93284138,0.945795838,-0.998535564,0.542181245,0.927644366,0.94157099,-0.998644329,0.775503852,0.81591723,-0.999597358,0.110042324,-0.999949081,-0.999959176
