measurement value,blue,green,red,NIR,SWIR1,log(blue),log(green),log(red),log(NIR),log(SWIR1),1/log(blue),1/log(green),1/log(red),1/log(NIR),1/log(SWIR1),1/blue,1/green,1/red,1/NIR,1/SWIR1,blue/green,blue/red,blue/NIR,blue/SWIR1,green/blue,green/red,green/NIR,green/SWIR1,red/blue,red/green,red/NIR,red/SWIR1,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(red,NIR)","ND(red,SWIR1)","ND(NIR,SWIR1)"
82.5,0.1250775,0.1823875,0.14925,0.0652375,0.0106225,-2.078821734,-1.701621734,-1.902132527,-2.729720822,-4.544780886,-0.481041728,-0.587674675,-0.525725724,-0.366337829,-0.22003261,7.995043073,5.482831883,6.700167504,15.32860701,94.1397976,0.685778905,0.838040201,1.917263844,11.77477053,1.458195919,1.222026801,2.795746312,17.16992233,1.193260179,0.818312658,2.287794597,14.05036479,0.521576622,0.357686245,0.437102178,6.141445046,0.084927345,0.058241382,0.071172529,0.162828128,-0.186395199,-0.088115482,0.314426083,0.843441415,0.099920847,0.473094397,0.889927983,0.391689492,0.867112856,0.719944635
66.7,0.127305,0.187475,0.146995,0.0682075,0.01868,-2.061169497,-1.674109776,-1.917356706,-2.68520075,-3.980301846,-0.485161459,-0.597332394,-0.521551361,-0.372411634,-0.251237227,7.855151015,5.334044539,6.802952481,14.6611443,53.53319058,0.67905054,0.866049866,1.866436975,6.815042827,1.472644437,1.275383516,2.748598028,10.0361349,1.154667923,0.784077877,2.155114907,7.869111349,0.535780213,0.363821843,0.464012381,3.651365096,0.146734221,0.099639952,0.127079152,0.273870176,-0.191149374,-0.07178272,0.302269676,0.744083296,0.121027297,0.466467201,0.818777134,0.366108665,0.774498265,0.570018702
31.8,0.1046725,0.1574725,0.1268375,0.0492875,0.00669,-2.256918851,-1.848504439,-2.064848539,-3.01008478,-5.007141405,-0.443081948,-0.540977873,-0.484297023,-0.332216556,-0.199714751,9.553607681,6.350315134,7.884103676,20.28911996,149.4768311,0.664703361,0.825248842,2.123712909,15.6461136,1.504430486,1.241529516,3.194978443,23.53849028,1.211755714,0.805458096,2.573421253,18.95926756,0.470873439,0.312991157,0.38858776,7.367339312,0.063913635,0.042483608,0.052744654,0.135734213,-0.201415247,-0.095741005,0.359736295,0.879851835,0.107752102,0.523239505,0.918495393,0.440312278,0.899795922,0.760975392
50.8,0.1303025,0.1866775,0.15915,0.06796,0.0112275,-2.037896609,-1.67837275,-1.837908125,-2.688835982,-4.489389153,-0.490702029,-0.595815203,-0.544096838,-0.371908144,-0.222747453,7.674449838,5.35683197,6.283380459,14.71453796,89.06702293,0.698008598,0.818740182,1.917341083,11.60565576,1.43264711,1.172965756,2.746873161,16.62680917,1.221388692,0.852539808,2.341818717,14.1750167,0.521555611,0.364050301,0.427018536,6.052994879,0.086164886,0.060143831,0.070546654,0.165207475,-0.177850338,-0.099662293,0.314444234,0.841341058,0.079598933,0.46622159,0.88653647,0.401523491,0.868204428,0.716432518
147.6,0.0843225,0.140395,0.10767,0.08842,0.0172775,-2.473106546,-1.963295401,-2.228684285,-2.425657091,-4.058350202,-0.404349745,-0.509347702,-0.448695226,-0.412259426,-0.246405547,11.85923093,7.122760782,9.287638154,11.30965845,57.87874403,0.600608996,0.783156868,0.953658675,4.880480394,1.664976726,1.303937959,1.587819498,8.125886268,1.276883394,0.766907653,1.217710925,6.23180437,1.048593199,0.629794508,0.821212966,5.117638547,0.204897862,0.123063499,0.160467168,0.195402624,-0.249524403,-0.121606313,-0.023720277,0.659891732,0.131921069,0.22714857,0.780843203,0.098169208,0.723443846,0.673076468
36.9,0.1034075,0.1564,0.127855,0.08281,0.00922,-2.269077786,-1.855338451,-2.05685847,-2.491206452,-4.686380241,-0.440707677,-0.538985218,-0.486178322,-0.401411934,-0.213384307,9.670478447,6.393861893,7.821360135,12.07583625,108.4598698,0.661173274,0.808787298,1.248732037,11.21556399,1.512462829,1.223260725,1.88866079,16.96312364,1.236419022,0.817487212,1.543956044,13.86713666,0.80081232,0.529475703,0.647686833,8.981561822,0.089161811,0.058951407,0.07211294,0.11133921,-0.203968323,-0.105713205,0.110609905,0.836274445,0.100420397,0.307637641,0.88866079,0.213822894,0.865475105,0.799630555
10.4,0.1063775,0.1597275,0.122135,0.0478575,0.00559,-2.240761191,-1.834286041,-2.102628289,-3.039527434,-5.186775992,-0.446276919,-0.545171243,-0.475595237,-0.328998511,-0.192797993,9.400484125,6.260662691,8.187661195,20.89536645,178.8908766,0.665993645,0.870982929,2.222796845,19.02996422,1.501515828,1.307794653,3.337564645,28.57379249,1.148128129,0.764646038,2.552055582,21.84883721,0.449883669,0.299619665,0.391840996,8.561270125,0.052548706,0.034997104,0.045769026,0.116805098,-0.200484771,-0.06895684,0.379421013,0.900149597,0.133371768,0.538911771,0.932372556,0.436945748,0.912468193,0.79082277
7.6,0.1201275,0.178675,0.1512575,0.0734875,0.00328,-2.1192016,-1.722186766,-1.888771597,-2.610639955,-5.719911857,-0.471875823,-0.580657116,-0.529444641,-0.383047842,-0.174827869,8.324488564,5.596753883,6.611242418,13.60775642,304.8780488,0.672324052,0.794192024,1.634665759,36.6242378,1.487377994,1.181263739,2.431365879,54.47408537,1.259141329,0.846551,2.058275217,46.11509146,0.611745853,0.411291451,0.485843677,22.40472561,0.027304322,0.018357353,0.021684875,0.044633441,-0.195940462,-0.114707887,0.240890427,0.946842777,0.083100331,0.417141724,0.96394713,0.346036619,0.957550756,0.914547172
32.2,0.08886,0.143255,0.1084675,0.04629,0.00339,-2.420693181,-1.94312902,-2.22130469,-3.072829324,-5.686925358,-0.413104811,-0.514633866,-0.450185877,-0.325432979,-0.175841942,11.25365744,6.980559143,9.219351419,21.602938,294.9852507,0.620292485,0.819231567,1.919637071,26.21238938,1.612142696,1.320718187,3.094728883,42.25811209,1.220656088,0.757163799,2.343216677,31.99631268,0.520931803,0.323130083,0.426763777,13.65486726,0.038149899,0.023664095,0.031253601,0.07323396,-0.234345044,-0.099365268,0.314983352,0.926504065,0.138197817,0.511567174,0.953765897,0.401773743,0.939387167,0.86352657
13.3,0.1085775,0.1647875,0.1309075,0.0547325,0.0046825,-2.220291075,-1.803098514,-2.033264312,-2.905297596,-5.363923124,-0.450391397,-0.554600868,-0.491819973,-0.344198819,-0.186430711,9.210011282,6.068421452,7.638981724,18.27068013,213.5611319,0.65889403,0.829421538,1.983784771,23.1879338,1.517694734,1.258808701,3.010779701,35.19220502,1.205659552,0.794401881,2.391769059,27.95675387,0.504086943,0.332139877,0.418100567,11.68873465,0.043125878,0.028415383,0.035769532,0.08555246,-0.205622519,-0.093241748,0.329710367,0.917314144,0.114577521,0.501343841,0.944739482,0.410337212,0.930931485,0.84237987
