,measurement value,time window,blue,green,red,NIR,SWIR1,SWIR2,ln(blue),ln(green),ln(red),ln(NIR),ln(SWIR1),ln(SWIR2),1/ln(blue),1/ln(green),1/ln(red),1/ln(NIR),1/ln(SWIR1),1/ln(SWIR2),1/blue,1/green,1/red,1/NIR,1/SWIR1,1/SWIR2,blue/green,blue/red,blue/NIR,blue/SWIR1,blue/SWIR2,green/blue,green/red,green/NIR,green/SWIR1,green/SWIR2,red/blue,red/green,red/NIR,red/SWIR1,red/SWIR2,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,NIR/SWIR2,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,SWIR1/SWIR2,SWIR2/blue,SWIR2/green,SWIR2/red,SWIR2/NIR,SWIR2/SWIR1,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(blue,SWIR2)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(green,SWIR2)","ND(red,NIR)","ND(red,SWIR1)","ND(red,SWIR2)","ND(NIR,SWIR1)","ND(NIR,SWIR2)","ND(SWIR1,SWIR2)",blue**2,green**2,red**2,NIR**2,SWIR1**2,SWIR2**2,blue*green,blue*red,blue*NIR,blue*SWIR1,blue*SWIR2,green*red,green*NIR,green*SWIR1,green*SWIR2,red*NIR,red*SWIR1,red*SWIR2,NIR*SWIR1,NIR*SWIR2,SWIR1*SWIR2
229,24.16,23.029867777777778,0.01,0.0449974999999999,0.0249774999999999,0.001,0.001,0.001,-4.605170185988091,-3.101148346310642,-3.6897798593571043,-6.907755278982137,-6.907755278982137,-6.907755278982137,-0.21714724095162594,-0.3224611944764509,-0.27101887866400703,-0.14476482730108395,-0.14476482730108395,-0.14476482730108395,100.0,22.223456858714425,40.03603242918643,1000.0,1000.0,1000.0,0.22223456858714424,0.4003603242918643,10.0,10.0,10.0,4.49974999999999,1.8015213692323122,44.997499999999896,44.997499999999896,44.997499999999896,2.4977499999999897,0.5550863936885373,24.9774999999999,24.9774999999999,24.9774999999999,0.1,0.022223456858714425,0.04003603242918643,1.0,1.0,0.1,0.022223456858714425,0.04003603242918643,1.0,1.0,0.1,0.022223456858714425,0.04003603242918643,1.0,1.0,0.6363471066866668,0.4282038453291385,0.8181818181818183,0.8181818181818183,0.8181818181818183,0.28610217934976856,0.9565193760530463,0.9565193760530463,0.9565193760530463,0.923010297372726,0.923010297372726,0.923010297372726,0.0,0.0,0.0,0.0001,0.002024775006249991,0.0006238755062499949,1e-06,1e-06,1e-06,0.000449974999999999,0.000249774999999999,1e-05,1e-05,1e-05,0.001123925056249993,4.49974999999999e-05,4.49974999999999e-05,4.49974999999999e-05,2.49774999999999e-05,2.49774999999999e-05,2.49774999999999e-05,1e-06,1e-06,1e-06
230,30.32,60.9947975,0.1325299999999999,0.179885,0.1354725,0.0249774999999999,0.0047649999999999,0.0027024999999999,-2.0209462440895503,-1.7154375211572905,-1.9989866112894519,-3.6897798593571043,-5.346457741875993,-5.913578008450948,-0.4948177136945603,-0.5829416622095144,-0.5002534756122989,-0.27101887866400703,-0.1870397276625841,-0.1691023604611159,7.54546140496492,5.559107207382494,7.381571905737327,40.03603242918643,209.8635886673706,370.0277520814198,0.7367484781944015,0.9782797246673672,5.305975377840073,27.813221406086605,49.03977798335053,1.3573153248321144,1.327834062263559,7.2018816935242,37.75131164742996,66.5624421831662,1.02220252018411,0.753106151152125,5.423781403262958,28.430745015740364,50.12858464385015,0.18846676224251052,0.1388526002723957,0.18437321227555334,5.2418677859392275,9.242368177613626,0.03595412359465709,0.026489145843177034,0.035173190130837625,0.19077169452506934,1.7631822386679286,0.02039160944691694,0.015023487227950636,0.019948698075254387,0.10819737763987232,0.567156348373548,0.15157722900629006,0.010979375192395962,0.6828404996587473,0.9305874212462228,0.9600317970901977,0.14083223008807463,0.7561535176032713,0.9483888437584629,0.9703977545012674,0.6886569024618271,0.9320438541759528,0.960882938302878,0.6795830881734936,0.8047326589595434,0.27619685302980324,0.017564200899999972,0.032358613225,0.01835279825625,0.0006238755062499949,2.270522499999905e-05,7.303506249999459e-06,0.02384015904999998,0.017954170424999985,0.003310268074999984,0.0006315054499999864,0.0003581623249999864,0.024369470662499997,0.004493077587499982,0.000857152024999982,0.000486139212499982,0.0033837643687499863,0.0006455264624999864,0.0003661144312499864,0.00011901778749999703,6.750169374999723e-05,1.2877412499999254e-05
231,35.56,60.9947975,0.1325299999999999,0.179885,0.1354725,0.0249774999999999,0.0047649999999999,0.0027024999999999,-2.0209462440895503,-1.7154375211572905,-1.9989866112894519,-3.6897798593571043,-5.346457741875993,-5.913578008450948,-0.4948177136945603,-0.5829416622095144,-0.5002534756122989,-0.27101887866400703,-0.1870397276625841,-0.1691023604611159,7.54546140496492,5.559107207382494,7.381571905737327,40.03603242918643,209.8635886673706,370.0277520814198,0.7367484781944015,0.9782797246673672,5.305975377840073,27.813221406086605,49.03977798335053,1.3573153248321144,1.327834062263559,7.2018816935242,37.75131164742996,66.5624421831662,1.02220252018411,0.753106151152125,5.423781403262958,28.430745015740364,50.12858464385015,0.18846676224251052,0.1388526002723957,0.18437321227555334,5.2418677859392275,9.242368177613626,0.03595412359465709,0.026489145843177034,0.035173190130837625,0.19077169452506934,1.7631822386679286,0.02039160944691694,0.015023487227950636,0.019948698075254387,0.10819737763987232,0.567156348373548,0.15157722900629006,0.010979375192395962,0.6828404996587473,0.9305874212462228,0.9600317970901977,0.14083223008807463,0.7561535176032713,0.9483888437584629,0.9703977545012674,0.6886569024618271,0.9320438541759528,0.960882938302878,0.6795830881734936,0.8047326589595434,0.27619685302980324,0.017564200899999972,0.032358613225,0.01835279825625,0.0006238755062499949,2.270522499999905e-05,7.303506249999459e-06,0.02384015904999998,0.017954170424999985,0.003310268074999984,0.0006315054499999864,0.0003581623249999864,0.024369470662499997,0.004493077587499982,0.000857152024999982,0.000486139212499982,0.0033837643687499863,0.0006455264624999864,0.0003661144312499864,0.00011901778749999703,6.750169374999723e-05,1.2877412499999254e-05
232,52.8,61.81146416666667,0.1090999999999999,0.155575,0.13099,0.0346025,0.0053149999999999,0.0028674999999999,-2.215490386143113,-1.8606273485268556,-2.0326342945725795,-3.363829345193417,-5.237222267188245,-5.854314708960783,-0.45136733892168807,-0.5374531341763551,-0.4919724136654297,-0.2972802414691168,-0.19094091275543268,-0.17081418572687443,9.165902841429888,6.427767957576732,7.6341705473700285,28.899645979336753,188.14675446848898,348.7358326068125,0.7012694841716208,0.8328880067180694,3.1529513763456367,20.52681091251213,38.04707933740321,1.425985334555455,1.187686082907092,4.496062423235315,29.27093132643517,54.25457715780485,1.200641613198901,0.841973324762976,3.785564626833321,24.64534336782737,45.680906713166365,0.31716315307057774,0.22241684075204887,0.2641613863653714,6.51034807149589,12.06713164777723,0.04871677360219894,0.03416358669451969,0.040575616459270936,0.15360161838017194,1.8535309503051736,0.02628322639779929,0.018431624618350635,0.021890984044582795,0.08286973484574525,0.5395108184383733,0.1755927080381604,0.0911741430296976,0.518414780536177,0.9070926014945608,0.9487797798468323,0.08579205415874235,0.6361031141959484,0.9339300142954825,0.9638039036243443,0.5820764829324999,0.9220131323135629,0.9571559307472511,0.7337007578129937,0.8469442220443072,0.29911396272533575,0.011902809999999979,0.024203580625,0.0171583801,0.0011973330062500002,2.8249224999998935e-05,8.222556249999428e-06,0.016973232499999984,0.014291008999999986,0.003775132749999997,0.0005798664999999885,0.0003128442499999888,0.020378769249999998,0.0053832839374999995,0.0008268811249999843,0.00044611131249998445,0.004532581475,0.0006962118499999868,0.0003756138249999869,0.00018391228749999654,9.922266874999655e-05,1.524076249999918e-05
233,52.0,61.81146416666667,0.1090999999999999,0.155575,0.13099,0.0346025,0.0053149999999999,0.0028674999999999,-2.215490386143113,-1.8606273485268556,-2.0326342945725795,-3.363829345193417,-5.237222267188245,-5.854314708960783,-0.45136733892168807,-0.5374531341763551,-0.4919724136654297,-0.2972802414691168,-0.19094091275543268,-0.17081418572687443,9.165902841429888,6.427767957576732,7.6341705473700285,28.899645979336753,188.14675446848898,348.7358326068125,0.7012694841716208,0.8328880067180694,3.1529513763456367,20.52681091251213,38.04707933740321,1.425985334555455,1.187686082907092,4.496062423235315,29.27093132643517,54.25457715780485,1.200641613198901,0.841973324762976,3.785564626833321,24.64534336782737,45.680906713166365,0.31716315307057774,0.22241684075204887,0.2641613863653714,6.51034807149589,12.06713164777723,0.04871677360219894,0.03416358669451969,0.040575616459270936,0.15360161838017194,1.8535309503051736,0.02628322639779929,0.018431624618350635,0.021890984044582795,0.08286973484574525,0.5395108184383733,0.1755927080381604,0.0911741430296976,0.518414780536177,0.9070926014945608,0.9487797798468323,0.08579205415874235,0.6361031141959484,0.9339300142954825,0.9638039036243443,0.5820764829324999,0.9220131323135629,0.9571559307472511,0.7337007578129937,0.8469442220443072,0.29911396272533575,0.011902809999999979,0.024203580625,0.0171583801,0.0011973330062500002,2.8249224999998935e-05,8.222556249999428e-06,0.016973232499999984,0.014291008999999986,0.003775132749999997,0.0005798664999999885,0.0003128442499999888,0.020378769249999998,0.0053832839374999995,0.0008268811249999843,0.00044611131249998445,0.004532581475,0.0006962118499999868,0.0003756138249999869,0.00018391228749999654,9.922266874999655e-05,1.524076249999918e-05
234,70.0,62.51146416666667,0.11735,0.162945,0.1281574999999999,0.0283325,0.0049025,0.0028124999999999,-2.1425943566851045,-1.814342558428313,-2.054495302718767,-3.5637457233571705,-5.318009999893773,-5.873681511451634,-0.46672390267429853,-0.5511638336181989,-0.48673754506845257,-0.28060363382434755,-0.18804026318490843,-0.17025097429105546,8.52151682999574,6.13704010555709,7.802898776895623,35.2951557398747,203.97756246812853,355.55555555556816,0.7201816563871244,0.9156701714687013,4.1418865260742965,23.93676695563488,41.72444444444592,1.388538559863656,1.2714433412012573,5.751169152033883,33.2371239163692,57.93600000000206,1.092096293140178,0.7865077173279321,4.5233389217329885,26.141254462009158,45.567111111112695,0.2414358755858543,0.17387768879069623,0.22107562959639523,5.7791942886282515,10.073777777778135,0.04177673625905411,0.03008683911749363,0.03825371125373079,0.17303450101473572,1.743111111111173,0.023966766084362167,0.0172604252968787,0.02194565281001816,0.09926762551839408,0.573686894441591,0.16266790345885587,0.04402105841980349,0.6110377018516294,0.9197971411627573,0.9531883907209004,0.11950258070610909,0.7037550156186692,0.9415838782227914,0.9660648839419042,0.6379001853153553,0.9263114384488199,0.9570512331068196,0.7049796900857529,0.8193931610210364,0.2709008425145984,0.013771022499999999,0.026551073025000003,0.016424344806249973,0.00080273055625,2.4034506249999997e-05,7.910156249999439e-06,0.01912159575,0.015039282624999987,0.0033248188749999998,0.000575308375,0.0003300468749999883,0.020882623837499985,0.0046166392125,0.0007988378625,0.00045828281249998376,0.003631022368749997,0.0006282921437499994,0.0003604429687499869,0.00013890008125,7.968515624999717e-05,1.378828124999951e-05
235,71.6,62.51146416666667,0.11735,0.162945,0.1281574999999999,0.0283325,0.0049025,0.0028124999999999,-2.1425943566851045,-1.814342558428313,-2.054495302718767,-3.5637457233571705,-5.318009999893773,-5.873681511451634,-0.46672390267429853,-0.5511638336181989,-0.48673754506845257,-0.28060363382434755,-0.18804026318490843,-0.17025097429105546,8.52151682999574,6.13704010555709,7.802898776895623,35.2951557398747,203.97756246812853,355.55555555556816,0.7201816563871244,0.9156701714687013,4.1418865260742965,23.93676695563488,41.72444444444592,1.388538559863656,1.2714433412012573,5.751169152033883,33.2371239163692,57.93600000000206,1.092096293140178,0.7865077173279321,4.5233389217329885,26.141254462009158,45.567111111112695,0.2414358755858543,0.17387768879069623,0.22107562959639523,5.7791942886282515,10.073777777778135,0.04177673625905411,0.03008683911749363,0.03825371125373079,0.17303450101473572,1.743111111111173,0.023966766084362167,0.0172604252968787,0.02194565281001816,0.09926762551839408,0.573686894441591,0.16266790345885587,0.04402105841980349,0.6110377018516294,0.9197971411627573,0.9531883907209004,0.11950258070610909,0.7037550156186692,0.9415838782227914,0.9660648839419042,0.6379001853153553,0.9263114384488199,0.9570512331068196,0.7049796900857529,0.8193931610210364,0.2709008425145984,0.013771022499999999,0.026551073025000003,0.016424344806249973,0.00080273055625,2.4034506249999997e-05,7.910156249999439e-06,0.01912159575,0.015039282624999987,0.0033248188749999998,0.000575308375,0.0003300468749999883,0.020882623837499985,0.0046166392125,0.0007988378625,0.00045828281249998376,0.003631022368749997,0.0006282921437499994,0.0003604429687499869,0.00013890008125,7.968515624999717e-05,1.378828124999951e-05
236,72.4,62.51146416666667,0.11735,0.162945,0.1281574999999999,0.0283325,0.0049025,0.0028124999999999,-2.1425943566851045,-1.814342558428313,-2.054495302718767,-3.5637457233571705,-5.318009999893773,-5.873681511451634,-0.46672390267429853,-0.5511638336181989,-0.48673754506845257,-0.28060363382434755,-0.18804026318490843,-0.17025097429105546,8.52151682999574,6.13704010555709,7.802898776895623,35.2951557398747,203.97756246812853,355.55555555556816,0.7201816563871244,0.9156701714687013,4.1418865260742965,23.93676695563488,41.72444444444592,1.388538559863656,1.2714433412012573,5.751169152033883,33.2371239163692,57.93600000000206,1.092096293140178,0.7865077173279321,4.5233389217329885,26.141254462009158,45.567111111112695,0.2414358755858543,0.17387768879069623,0.22107562959639523,5.7791942886282515,10.073777777778135,0.04177673625905411,0.03008683911749363,0.03825371125373079,0.17303450101473572,1.743111111111173,0.023966766084362167,0.0172604252968787,0.02194565281001816,0.09926762551839408,0.573686894441591,0.16266790345885587,0.04402105841980349,0.6110377018516294,0.9197971411627573,0.9531883907209004,0.11950258070610909,0.7037550156186692,0.9415838782227914,0.9660648839419042,0.6379001853153553,0.9263114384488199,0.9570512331068196,0.7049796900857529,0.8193931610210364,0.2709008425145984,0.013771022499999999,0.026551073025000003,0.016424344806249973,0.00080273055625,2.4034506249999997e-05,7.910156249999439e-06,0.01912159575,0.015039282624999987,0.0033248188749999998,0.000575308375,0.0003300468749999883,0.020882623837499985,0.0046166392125,0.0007988378625,0.00045828281249998376,0.003631022368749997,0.0006282921437499994,0.0003604429687499869,0.00013890008125,7.968515624999717e-05,1.378828124999951e-05
